2025-11-21T02:26:33.210929 | hiking_213 | chunk 0 | prompt_tokens=9318, candidates_tokens=229, total_tokens=9547
2025-11-21T09:06:16.071374 | hiking_30 | chunk 7 | prompt_tokens=12198, candidates_tokens=163, total_tokens=12361
2025-11-21T09:06:22.191708 | hiking_30 | chunk 8 | prompt_tokens=2318, candidates_tokens=114, total_tokens=2432
2025-11-21T09:06:33.628423 | hiking_30 | chunk 9 | prompt_tokens=17883, candidates_tokens=204, total_tokens=18087
2025-11-21T09:06:48.875006 | hiking_224 | chunk 0 | prompt_tokens=21795, candidates_tokens=233, total_tokens=22028
2025-11-21T09:06:53.901384 | hiking_224 | chunk 1 | prompt_tokens=3483, candidates_tokens=108, total_tokens=3591
2025-11-21T09:07:03.933416 | hiking_224 | chunk 3 | prompt_tokens=2909, candidates_tokens=148, total_tokens=3057
2025-11-21T09:07:10.563709 | hiking_224 | chunk 4 | prompt_tokens=12015, candidates_tokens=134, total_tokens=12149
2025-11-21T09:07:25.109573 | hiking_224 | chunk 5 | prompt_tokens=14562, candidates_tokens=139, total_tokens=14701
2025-11-21T09:07:43.348415 | hiking_224 | chunk 6 | prompt_tokens=13946, candidates_tokens=155, total_tokens=14101
2025-11-21T09:07:51.869047 | hiking_224 | chunk 7 | prompt_tokens=8261, candidates_tokens=189, total_tokens=8450
2025-11-21T09:08:25.195946 | hiking_224 | chunk 8 | prompt_tokens=29819, candidates_tokens=264, total_tokens=30083
2025-11-21T09:08:35.788396 | hiking_224 | chunk 9 | prompt_tokens=10833, candidates_tokens=99, total_tokens=10932
2025-11-21T09:08:44.018615 | hiking_224 | chunk 10 | prompt_tokens=7645, candidates_tokens=154, total_tokens=7799
2025-11-21T09:08:50.521708 | hiking_224 | chunk 11 | prompt_tokens=645, candidates_tokens=111, total_tokens=756
2025-11-21T09:08:55.373246 | hiking_224 | chunk 12 | prompt_tokens=6255, candidates_tokens=96, total_tokens=6351
2025-11-21T09:09:06.644777 | hiking_224 | chunk 13 | prompt_tokens=12173, candidates_tokens=162, total_tokens=12335
2025-11-21T09:09:14.215652 | hiking_224 | chunk 14 | prompt_tokens=6896, candidates_tokens=177, total_tokens=7073
2025-11-21T09:09:31.805475 | hiking_224 | chunk 15 | prompt_tokens=27788, candidates_tokens=200, total_tokens=27988
