2025-11-20T20:27:01.478487 | celebrity_interviews_16 | chunk 0 | prompt_tokens=857, candidates_tokens=99, total_tokens=956
2025-11-20T21:15:45.707322 | celebrity_interviews_185 | chunk 12 | prompt_tokens=1182, candidates_tokens=101, total_tokens=1283
2025-11-20T21:16:10.773271 | celebrity_interviews_211 | chunk 0 | prompt_tokens=2057, candidates_tokens=186, total_tokens=2243
2025-11-20T21:16:25.110696 | celebrity_interviews_211 | chunk 1 | prompt_tokens=1132, candidates_tokens=160, total_tokens=1292
2025-11-20T21:16:40.107869 | celebrity_interviews_211 | chunk 2 | prompt_tokens=1307, candidates_tokens=95, total_tokens=1402
2025-11-20T21:16:55.149666 | celebrity_interviews_211 | chunk 3 | prompt_tokens=1732, candidates_tokens=159, total_tokens=1891
2025-11-20T21:17:13.690337 | celebrity_interviews_211 | chunk 4 | prompt_tokens=1757, candidates_tokens=171, total_tokens=1928
2025-11-20T21:17:28.206877 | celebrity_interviews_211 | chunk 5 | prompt_tokens=1307, candidates_tokens=111, total_tokens=1418
2025-11-20T21:17:40.998633 | celebrity_interviews_211 | chunk 6 | prompt_tokens=1057, candidates_tokens=88, total_tokens=1145
2025-11-20T21:18:02.048967 | celebrity_interviews_211 | chunk 7 | prompt_tokens=2007, candidates_tokens=167, total_tokens=2174
2025-11-20T21:18:12.175227 | celebrity_interviews_334 | chunk 0 | prompt_tokens=1057, candidates_tokens=95, total_tokens=1152
2025-11-20T21:18:31.859763 | celebrity_interviews_334 | chunk 1 | prompt_tokens=1607, candidates_tokens=166, total_tokens=1773
2025-11-20T21:18:55.812570 | celebrity_interviews_334 | chunk 2 | prompt_tokens=2382, candidates_tokens=160, total_tokens=2542
2025-11-20T21:19:15.141114 | celebrity_interviews_334 | chunk 3 | prompt_tokens=1157, candidates_tokens=227, total_tokens=1384
2025-11-20T21:19:26.938266 | celebrity_interviews_334 | chunk 4 | prompt_tokens=832, candidates_tokens=106, total_tokens=938
2025-11-20T21:19:39.377025 | celebrity_interviews_334 | chunk 5 | prompt_tokens=1007, candidates_tokens=90, total_tokens=1097
2025-11-20T21:19:49.999428 | celebrity_interviews_334 | chunk 6 | prompt_tokens=932, candidates_tokens=115, total_tokens=1047
2025-11-20T21:20:03.627018 | celebrity_interviews_334 | chunk 7 | prompt_tokens=982, candidates_tokens=171, total_tokens=1153
2025-11-20T21:20:14.906751 | celebrity_interviews_334 | chunk 8 | prompt_tokens=782, candidates_tokens=132, total_tokens=914
2025-11-20T21:20:27.151455 | celebrity_interviews_334 | chunk 9 | prompt_tokens=1032, candidates_tokens=114, total_tokens=1146
2025-11-20T21:20:50.454809 | celebrity_interviews_334 | chunk 10 | prompt_tokens=2007, candidates_tokens=177, total_tokens=2184
2025-11-20T21:21:04.756985 | celebrity_interviews_334 | chunk 11 | prompt_tokens=907, candidates_tokens=184, total_tokens=1091
2025-11-20T21:21:18.392560 | celebrity_interviews_372 | chunk 0 | prompt_tokens=882, candidates_tokens=108, total_tokens=990
2025-11-20T21:21:36.206835 | celebrity_interviews_372 | chunk 1 | prompt_tokens=1457, candidates_tokens=129, total_tokens=1586
2025-11-20T21:21:51.241648 | celebrity_interviews_372 | chunk 2 | prompt_tokens=682, candidates_tokens=88, total_tokens=770
2025-11-20T21:21:59.739628 | celebrity_interviews_372 | chunk 3 | prompt_tokens=582, candidates_tokens=84, total_tokens=666
2025-11-20T21:22:09.616996 | celebrity_interviews_372 | chunk 4 | prompt_tokens=757, candidates_tokens=95, total_tokens=852
2025-11-20T21:22:37.424002 | celebrity_interviews_372 | chunk 5 | prompt_tokens=1632, candidates_tokens=143, total_tokens=1775
2025-11-20T21:22:45.209940 | celebrity_interviews_372 | chunk 6 | prompt_tokens=807, candidates_tokens=102, total_tokens=909
2025-11-20T21:22:57.393619 | celebrity_interviews_372 | chunk 7 | prompt_tokens=1007, candidates_tokens=97, total_tokens=1104
2025-11-20T21:23:15.500666 | celebrity_interviews_372 | chunk 8 | prompt_tokens=1557, candidates_tokens=103, total_tokens=1660
2025-11-20T21:23:30.944702 | celebrity_interviews_372 | chunk 9 | prompt_tokens=1607, candidates_tokens=140, total_tokens=1747
2025-11-20T21:23:41.531437 | celebrity_interviews_372 | chunk 10 | prompt_tokens=707, candidates_tokens=112, total_tokens=819
2025-11-20T21:23:51.986498 | celebrity_interviews_372 | chunk 11 | prompt_tokens=982, candidates_tokens=124, total_tokens=1106
2025-11-20T21:24:07.987651 | celebrity_interviews_372 | chunk 12 | prompt_tokens=1082, candidates_tokens=128, total_tokens=1210
2025-11-20T21:24:25.586007 | celebrity_interviews_372 | chunk 13 | prompt_tokens=1607, candidates_tokens=78, total_tokens=1685
2025-11-20T21:24:35.698758 | celebrity_interviews_301 | chunk 0 | prompt_tokens=732, candidates_tokens=141, total_tokens=873
2025-11-20T21:24:46.603603 | celebrity_interviews_301 | chunk 1 | prompt_tokens=907, candidates_tokens=73, total_tokens=980
2025-11-20T21:24:52.762156 | celebrity_interviews_301 | chunk 2 | prompt_tokens=357, candidates_tokens=51, total_tokens=408
2025-11-20T21:24:58.501512 | celebrity_interviews_301 | chunk 3 | prompt_tokens=407, candidates_tokens=63, total_tokens=470
2025-11-20T21:25:18.939503 | celebrity_interviews_301 | chunk 4 | prompt_tokens=1782, candidates_tokens=271, total_tokens=2053
2025-11-20T21:25:24.280505 | celebrity_interviews_301 | chunk 5 | prompt_tokens=407, candidates_tokens=78, total_tokens=485
2025-11-20T21:25:39.265876 | celebrity_interviews_301 | chunk 6 | prompt_tokens=1207, candidates_tokens=143, total_tokens=1350
2025-11-20T21:26:06.736962 | celebrity_interviews_301 | chunk 7 | prompt_tokens=2057, candidates_tokens=112, total_tokens=2169
2025-11-20T21:26:29.787599 | celebrity_interviews_301 | chunk 8 | prompt_tokens=2082, candidates_tokens=227, total_tokens=2309
2025-11-20T21:26:50.753792 | celebrity_interviews_301 | chunk 9 | prompt_tokens=1432, candidates_tokens=146, total_tokens=1578
2025-11-20T21:27:07.698953 | celebrity_interviews_301 | chunk 10 | prompt_tokens=1432, candidates_tokens=139, total_tokens=1571
2025-11-20T21:27:20.600294 | celebrity_interviews_301 | chunk 11 | prompt_tokens=1482, candidates_tokens=55, total_tokens=1537
2025-11-20T21:27:34.585047 | celebrity_interviews_301 | chunk 12 | prompt_tokens=1157, candidates_tokens=89, total_tokens=1246
2025-11-20T21:27:59.185046 | celebrity_interviews_301 | chunk 13 | prompt_tokens=2357, candidates_tokens=191, total_tokens=2548
2025-11-20T21:28:18.687197 | celebrity_interviews_341 | chunk 0 | prompt_tokens=1657, candidates_tokens=127, total_tokens=1784
2025-11-20T21:28:24.897880 | celebrity_interviews_341 | chunk 1 | prompt_tokens=582, candidates_tokens=77, total_tokens=659
2025-11-20T21:28:33.092601 | celebrity_interviews_341 | chunk 2 | prompt_tokens=657, candidates_tokens=73, total_tokens=730
2025-11-20T21:28:49.639040 | celebrity_interviews_341 | chunk 3 | prompt_tokens=1357, candidates_tokens=107, total_tokens=1464
2025-11-20T21:29:02.442343 | celebrity_interviews_341 | chunk 4 | prompt_tokens=1207, candidates_tokens=125, total_tokens=1332
2025-11-20T21:29:18.348366 | celebrity_interviews_341 | chunk 5 | prompt_tokens=1382, candidates_tokens=141, total_tokens=1523
2025-11-20T21:29:32.044738 | celebrity_interviews_341 | chunk 6 | prompt_tokens=1282, candidates_tokens=108, total_tokens=1390
2025-11-20T21:29:48.414863 | celebrity_interviews_341 | chunk 7 | prompt_tokens=1482, candidates_tokens=124, total_tokens=1606
2025-11-20T21:29:59.345347 | celebrity_interviews_341 | chunk 8 | prompt_tokens=707, candidates_tokens=73, total_tokens=780
2025-11-20T21:30:09.751071 | celebrity_interviews_341 | chunk 9 | prompt_tokens=757, candidates_tokens=125, total_tokens=882
2025-11-20T21:30:24.674939 | celebrity_interviews_341 | chunk 10 | prompt_tokens=1032, candidates_tokens=62, total_tokens=1094
2025-11-20T21:30:36.167716 | celebrity_interviews_341 | chunk 11 | prompt_tokens=757, candidates_tokens=81, total_tokens=838
2025-11-20T21:30:53.125097 | celebrity_interviews_341 | chunk 12 | prompt_tokens=1382, candidates_tokens=146, total_tokens=1528
2025-11-20T21:31:02.764142 | celebrity_interviews_341 | chunk 13 | prompt_tokens=757, candidates_tokens=57, total_tokens=814
2025-11-20T21:31:20.050540 | celebrity_interviews_341 | chunk 14 | prompt_tokens=1282, candidates_tokens=101, total_tokens=1383
2025-11-20T21:31:32.480603 | celebrity_interviews_341 | chunk 15 | prompt_tokens=1357, candidates_tokens=137, total_tokens=1494
2025-11-20T21:31:44.515126 | celebrity_interviews_270 | chunk 0 | prompt_tokens=957, candidates_tokens=91, total_tokens=1048
2025-11-20T21:31:58.081595 | celebrity_interviews_270 | chunk 1 | prompt_tokens=1182, candidates_tokens=71, total_tokens=1253
2025-11-20T21:32:11.089868 | celebrity_interviews_270 | chunk 2 | prompt_tokens=1357, candidates_tokens=126, total_tokens=1483
2025-11-20T21:32:23.007926 | celebrity_interviews_270 | chunk 3 | prompt_tokens=1207, candidates_tokens=105, total_tokens=1312
2025-11-20T21:32:36.270018 | celebrity_interviews_270 | chunk 4 | prompt_tokens=982, candidates_tokens=127, total_tokens=1109
2025-11-20T21:32:52.041248 | celebrity_interviews_270 | chunk 5 | prompt_tokens=1382, candidates_tokens=95, total_tokens=1477
2025-11-20T21:32:59.250426 | celebrity_interviews_270 | chunk 6 | prompt_tokens=682, candidates_tokens=76, total_tokens=758
2025-11-20T21:33:17.254367 | celebrity_interviews_270 | chunk 7 | prompt_tokens=1207, candidates_tokens=64, total_tokens=1271
2025-11-20T21:33:25.305553 | celebrity_interviews_270 | chunk 8 | prompt_tokens=532, candidates_tokens=65, total_tokens=597
2025-11-20T21:33:36.069812 | celebrity_interviews_270 | chunk 9 | prompt_tokens=807, candidates_tokens=79, total_tokens=886
2025-11-20T21:33:42.827819 | celebrity_interviews_270 | chunk 10 | prompt_tokens=482, candidates_tokens=80, total_tokens=562
2025-11-20T21:33:53.923969 | celebrity_interviews_270 | chunk 11 | prompt_tokens=932, candidates_tokens=89, total_tokens=1021
2025-11-20T21:34:04.062493 | celebrity_interviews_270 | chunk 12 | prompt_tokens=682, candidates_tokens=107, total_tokens=789
2025-11-20T21:34:18.889400 | celebrity_interviews_270 | chunk 13 | prompt_tokens=1057, candidates_tokens=76, total_tokens=1133
2025-11-20T21:34:46.129526 | celebrity_interviews_270 | chunk 14 | prompt_tokens=2182, candidates_tokens=104, total_tokens=2286
2025-11-20T21:35:00.033625 | celebrity_interviews_270 | chunk 15 | prompt_tokens=1582, candidates_tokens=109, total_tokens=1691
2025-11-20T21:35:08.744604 | celebrity_interviews_30 | chunk 0 | prompt_tokens=882, candidates_tokens=85, total_tokens=967
2025-11-20T21:35:20.197295 | celebrity_interviews_30 | chunk 1 | prompt_tokens=907, candidates_tokens=136, total_tokens=1043
2025-11-20T21:35:34.466341 | celebrity_interviews_30 | chunk 2 | prompt_tokens=1282, candidates_tokens=144, total_tokens=1426
2025-11-20T21:35:41.985546 | celebrity_interviews_30 | chunk 3 | prompt_tokens=582, candidates_tokens=105, total_tokens=687
2025-11-20T21:35:50.992559 | celebrity_interviews_30 | chunk 4 | prompt_tokens=832, candidates_tokens=90, total_tokens=922
2025-11-20T21:36:05.200340 | celebrity_interviews_30 | chunk 5 | prompt_tokens=1182, candidates_tokens=142, total_tokens=1324
2025-11-20T21:36:20.203192 | celebrity_interviews_30 | chunk 6 | prompt_tokens=1257, candidates_tokens=138, total_tokens=1395
2025-11-20T21:36:35.684628 | celebrity_interviews_30 | chunk 7 | prompt_tokens=1107, candidates_tokens=143, total_tokens=1250
2025-11-20T21:36:49.744096 | celebrity_interviews_30 | chunk 8 | prompt_tokens=1107, candidates_tokens=141, total_tokens=1248
2025-11-20T21:36:58.438668 | celebrity_interviews_30 | chunk 9 | prompt_tokens=757, candidates_tokens=59, total_tokens=816
2025-11-20T21:37:18.251430 | celebrity_interviews_30 | chunk 10 | prompt_tokens=1532, candidates_tokens=169, total_tokens=1701
2025-11-20T21:37:30.129229 | celebrity_interviews_30 | chunk 11 | prompt_tokens=782, candidates_tokens=134, total_tokens=916
2025-11-20T21:37:57.092799 | celebrity_interviews_30 | chunk 12 | prompt_tokens=1982, candidates_tokens=112, total_tokens=2094
2025-11-20T21:38:08.076798 | celebrity_interviews_83 | chunk 0 | prompt_tokens=532, candidates_tokens=116, total_tokens=648
2025-11-20T21:38:26.922454 | celebrity_interviews_83 | chunk 1 | prompt_tokens=882, candidates_tokens=127, total_tokens=1009
2025-11-20T21:38:53.943929 | celebrity_interviews_83 | chunk 2 | prompt_tokens=1232, candidates_tokens=181, total_tokens=1413
2025-11-20T21:39:46.966559 | celebrity_interviews_83 | chunk 3 | prompt_tokens=2082, candidates_tokens=142, total_tokens=2224
2025-11-20T21:40:08.427653 | celebrity_interviews_83 | chunk 4 | prompt_tokens=707, candidates_tokens=116, total_tokens=823
2025-11-20T21:40:37.703499 | celebrity_interviews_83 | chunk 5 | prompt_tokens=1057, candidates_tokens=98, total_tokens=1155
2025-11-20T21:40:55.719541 | celebrity_interviews_83 | chunk 6 | prompt_tokens=857, candidates_tokens=200, total_tokens=1057
2025-11-20T21:41:12.958592 | celebrity_interviews_83 | chunk 7 | prompt_tokens=857, candidates_tokens=180, total_tokens=1037
2025-11-20T21:41:53.302596 | celebrity_interviews_83 | chunk 8 | prompt_tokens=1757, candidates_tokens=162, total_tokens=1919
2025-11-20T21:42:18.197844 | celebrity_interviews_83 | chunk 9 | prompt_tokens=1107, candidates_tokens=161, total_tokens=1268
2025-11-20T21:43:04.813376 | celebrity_interviews_83 | chunk 10 | prompt_tokens=2182, candidates_tokens=239, total_tokens=2421
2025-11-20T21:43:28.973155 | celebrity_interviews_83 | chunk 11 | prompt_tokens=1382, candidates_tokens=247, total_tokens=1629
2025-11-20T21:43:48.765136 | celebrity_interviews_83 | chunk 12 | prompt_tokens=1382, candidates_tokens=106, total_tokens=1488
2025-11-20T21:43:56.349553 | celebrity_interviews_256 | chunk 0 | prompt_tokens=532, candidates_tokens=57, total_tokens=589
2025-11-20T21:44:07.527518 | celebrity_interviews_256 | chunk 1 | prompt_tokens=707, candidates_tokens=122, total_tokens=829
2025-11-20T21:44:21.806193 | celebrity_interviews_256 | chunk 2 | prompt_tokens=732, candidates_tokens=121, total_tokens=853
2025-11-20T21:44:44.538429 | celebrity_interviews_256 | chunk 3 | prompt_tokens=907, candidates_tokens=83, total_tokens=990
2025-11-20T21:45:04.565067 | celebrity_interviews_256 | chunk 4 | prompt_tokens=982, candidates_tokens=206, total_tokens=1188
2025-11-20T21:45:19.039914 | celebrity_interviews_256 | chunk 5 | prompt_tokens=657, candidates_tokens=113, total_tokens=770
2025-11-20T21:45:54.073796 | celebrity_interviews_256 | chunk 6 | prompt_tokens=1582, candidates_tokens=247, total_tokens=1829
2025-11-20T21:46:14.096646 | celebrity_interviews_256 | chunk 7 | prompt_tokens=732, candidates_tokens=137, total_tokens=869
2025-11-20T21:47:04.076932 | celebrity_interviews_256 | chunk 8 | prompt_tokens=2057, candidates_tokens=310, total_tokens=2367
2025-11-20T21:47:25.208363 | celebrity_interviews_256 | chunk 9 | prompt_tokens=982, candidates_tokens=139, total_tokens=1121
2025-11-20T21:48:19.889247 | celebrity_interviews_256 | chunk 10 | prompt_tokens=2082, candidates_tokens=188, total_tokens=2270
2025-11-20T21:48:28.571866 | celebrity_interviews_256 | chunk 11 | prompt_tokens=432, candidates_tokens=81, total_tokens=513
